[-73.991921, 40.731166]
[-73.9914619, 40.7317445]
[-73.991114, 40.733214]
[-73.990945, 40.733978]
[-73.994118, 40.735313]
[-73.995489, 40.733437]
[-73.993814, 40.732731]
[-73.9903509, 40.7312807]
[-73.9890529, 40.7307238]
[-73.986812, 40.729779]
[-73.9844396, 40.7287826]
[-73.982228, 40.727846]
[-73.9866821, 40.7339789]
[-73.985242, 40.733372]
[-73.984441, 40.733033]
[-73.983646, 40.732699]
[-73.989902, 40.729558]
[-73.9876651, 40.7286043]
[-73.985307, 40.727599]
[-73.9909718, 40.7292206]
[-73.9903444, 40.72894]
[-73.9897967, 40.7287072]
[-73.9881146, 40.727992]
[-73.985753, 40.726988]
[-73.9887747, 40.7339693]
[-73.992266, 40.734532]
[-73.989868, 40.733528]
[-73.9876833, 40.7326041]
[-73.985444, 40.731658]
[-73.9830644, 40.7306534]
[-73.980858, 40.729725]
[-73.978536, 40.728746]
[-73.985362, 40.7357911]
[-73.98987, 40.725582]
[-73.987502, 40.724584]
[-73.994585, 40.734672]
[-73.9845088, 40.7369623]
[-73.9914198, 40.7298614]
[-73.990803, 40.7297809]
[-73.9907592, 40.7299105]
[-73.9816006, 40.732664]
[-73.983638, 40.7381579]
[-73.9898997, 40.7344472]
[-73.9871818, 40.7332927]
[-73.984941, 40.732347]
[-73.982557, 40.7313565]
[-73.9903725, 40.7248927]
[-73.989429, 40.726188]
[-73.9889783, 40.7267997]
[-73.9885349, 40.7274076]
[-73.987242, 40.7291879]
[-73.9863742, 40.7303818]
[-73.985909, 40.731019]
[-73.9896776, 40.7298638]
[-73.9889355, 40.7298989]
[-73.9902269, 40.7281239]
[-73.986176, 40.726409]
[-73.990646, 40.730615]
[-73.9905029, 40.730557]
[-73.992792, 40.733922]
[-73.990027, 40.732756]
[-73.9881498, 40.7319637]
[-73.983536, 40.7300191]
[-73.981325, 40.729086]
[-73.978998, 40.728106]
[-73.9766295, 40.7271037]
[-73.98579, 40.7352035]
[-73.983148, 40.7388264]
[-73.9894855, 40.7301298]
[-73.984875, 40.728194]
[-73.982657, 40.727261]
[-73.9886146, 40.7313257]
[-73.9862156, 40.7346191]
[-73.9849362, 40.7363755]
[-73.9902032, 40.7319645]
[-73.9898199, 40.7339951]
[-73.986623, 40.725796]
[-73.987968, 40.723942]
[-73.9839987, 40.729373]
[-73.98179, 40.728446]
[-73.979469, 40.727468]
[-73.9770983, 40.7264706]
[-73.983176, 40.73334]
[-73.987053, 40.725203]
[-73.9840861, 40.7375427]
[-73.9902112, 40.7296852]
[-73.9904097, 40.7310019]
[-73.9915448, 40.7270946]
[-73.991255, 40.72777]
[-73.9821801, 40.7320791]
[-73.9875129, 40.7300663]
[-73.9907799, 40.728358]
[-73.9828579, 40.7309397]
[-73.9857302, 40.7312647]
[-73.985279, 40.731884]
[-73.9847063, 40.7326691]
[-73.9842031, 40.7333606]
[-73.9905994, 40.7306923]
[-73.9886398, 40.7297748]
[-73.9885804, 40.7299275]
[-73.9902061, 40.7291332]
[-73.9843628, 40.7330002]
