[-74.648193, 40.359562]
[-74.644904, 40.361341]
[-74.6437533, 40.3617966]
[-74.645426, 40.346785]
[-74.643866, 40.347446]
[-74.638918, 40.347074]
[-74.638704, 40.346809]
[-74.6697251, 40.3452028]
[-74.646775, 40.355497]
[-74.646207, 40.355718]
[-74.645404, 40.356092]
[-74.641885, 40.349223]
[-74.6392204, 40.3507917]
[-74.6404181, 40.3577329]
[-74.661156, 40.332867]
[-74.6637279, 40.348535]
[-74.664658, 40.346606]
[-74.666108, 40.344719]
[-74.666795, 40.343828]
[-74.66739, 40.343059]
[-74.668469, 40.341667]
[-74.669311, 40.357835]
[-74.665374, 40.361105]
[-74.6615699, 40.3538618]
[-74.6522593, 40.3519295]
[-74.653083, 40.354308]
[-74.6534134, 40.3551824]
[-74.6607439, 40.350073]
[-74.668829, 40.354476]
[-74.667077, 40.354979]
[-74.66543, 40.355396]
[-74.647535, 40.349834]
[-74.646705, 40.348235]
[-74.643124, 40.344756]
[-74.638879, 40.354511]
[-74.637718, 40.353026]
[-74.6454227, 40.357722]
[-74.646091, 40.3585586]
[-74.6467567, 40.359363]
[-74.6481873, 40.3505025]
[-74.646682, 40.351182]
[-74.643967, 40.351947]
[-74.642432, 40.352436]
[-74.641422, 40.352757]
[-74.640476, 40.353058]
[-74.6610561, 40.3499357]
[-74.661331, 40.349871]
[-74.6615711, 40.3498113]
[-74.643945, 40.354467]
[-74.643474, 40.353834]
[-74.643026, 40.353232]
[-74.6621001, 40.3507497]
[-74.638852, 40.346713]
[-74.638259, 40.345942]
[-74.667735, 40.353061]
[-74.666173, 40.353899]
[-74.665129, 40.354193]
[-74.6345861, 40.3588876]
[-74.65864, 40.360669]
[-74.653594, 40.361932]
[-74.653109, 40.362053]
[-74.663934, 40.359368]
[-74.6625206, 40.359716]
[-74.6278926, 40.3649783]
[-74.648392, 40.357659]
[-74.6464709, 40.3573014]
[-74.64208, 40.355325]
[-74.639881, 40.351983]
[-74.638558, 40.34977]
[-74.637203, 40.361582]
[-74.665701, 40.351119]
[-74.666246, 40.350949]
[-74.666345, 40.351098]
[-74.663672, 40.351723]
[-74.663318, 40.351712]
[-74.662923, 40.351656]
[-74.660747, 40.351974]
[-74.6720931, 40.3428845]
[-74.675253, 40.347041]
[-74.676385, 40.348542]
[-74.644482, 40.35679]
[-74.647674, 40.353324]
[-74.669156, 40.337004]
[-74.668035, 40.335665]
[-74.655755, 40.353817]
[-74.6504527, 40.3562039]
[-74.6478319, 40.3568947]
[-74.643486, 40.35858]
[-74.642757, 40.3586285]
[-74.6489148, 40.3514166]
[-74.647381, 40.352106]
[-74.6496337, 40.3552986]
[-74.663189, 40.357635]
[-74.6617955, 40.3579961]
[-74.660496, 40.358319]
[-74.659176, 40.358648]
[-74.657925, 40.358949]
[-74.65195, 40.360485]
[-74.6525032, 40.3602696]
[-74.6403734, 40.3483828]
[-74.639234, 40.346935]
[-74.638609, 40.360281]
[-74.6562561, 40.3493833]
[-74.6535251, 40.3503389]
[-74.652519, 40.3507038]
[-74.6520611, 40.3508651]
[-74.657615, 40.35505]
[-74.656382, 40.355357]
[-74.6537649, 40.355979]
[-74.65064, 40.356787]
[-74.648202, 40.357395]
[-74.665838, 40.33844]
[-74.631031, 40.337369]
[-74.6325, 40.338998]
[-74.637354, 40.342455]
[-74.663407, 40.335478]
[-74.648825, 40.360379]
[-74.666947, 40.339792]
[-74.671222, 40.335328]
[-74.634784, 40.355041]
[-74.632234, 40.345932]
[-74.6639542, 40.3501241]
[-74.636752, 40.350094]
[-74.6359825, 40.349045]
[-74.6394544, 40.3565485]
[-74.660319, 40.34489]
[-74.6611197, 40.3460392]
[-74.6618575, 40.3470213]
[-74.6630575, 40.3487282]
[-74.656295, 40.338191]
[-74.663057, 40.352116]
[-74.663376, 40.352809]
[-74.6634331, 40.3529332]
[-74.663912, 40.353998]
[-74.664233, 40.354726]
[-74.66455, 40.355459]
[-74.664866, 40.356097]
[-74.66517, 40.356724]
[-74.6617155, 40.3491234]
[-74.662339, 40.3506804]
[-74.6443288, 40.33635]
[-74.647177, 40.338587]
[-74.6476275, 40.3389783]
[-74.6477583, 40.3390958]
[-74.6482345, 40.3395685]
[-74.6492006, 40.3405423]
[-74.649815, 40.34117]
[-74.6532137, 40.3454346]
[-74.655029, 40.347821]
[-74.664284, 40.336538]
[-74.6644351, 40.348234]
[-74.665424, 40.34972]
[-74.6657958, 40.3502776]
[-74.667336, 40.3525308]
[-74.668266, 40.353747]
[-74.66912, 40.354853]
[-74.633768, 40.347749]
[-74.632261, 40.345579]
[-74.657897, 40.353018]
[-74.6583855, 40.3537746]
[-74.65865, 40.354189]
[-74.6612031, 40.3562437]
[-74.661003, 40.352568]
[-74.64598, 40.350255]
[-74.645022, 40.348976]
[-74.642123, 40.345174]
[-74.655601, 40.338579]
[-74.661839, 40.354505]
[-74.638754, 40.34716]
[-74.637836, 40.347902]
[-74.636999, 40.348542]
[-74.646664, 40.353631]
[-74.6470376, 40.3542757]
[-74.66216, 40.355248]
[-74.6540669, 40.351376]
[-74.641178, 40.355747]
[-74.650206, 40.352542]
[-74.650991, 40.354894]
[-74.662369, 40.355736]
[-74.647222, 40.3560798]
[-74.647704, 40.358922]
[-74.649475, 40.361197]
[-74.6597503, 40.3496737]
[-74.6602711, 40.3508564]
[-74.6604112, 40.351173]
[-74.661324, 40.353312]
[-74.662456, 40.355936]
[-74.663061, 40.357337]
[-74.664488, 40.361246]
[-74.648184, 40.353166]
[-74.6543631, 40.3512837]
[-74.654863, 40.352193]
[-74.655175, 40.352748]
[-74.655347, 40.353054]
[-74.656792, 40.356315]
[-74.657186, 40.35724]
[-74.659616, 40.361473]
[-74.643207, 40.354799]
[-74.660803, 40.364135]
[-74.650628, 40.346953]
[-74.651581, 40.348756]
[-74.64587, 40.356656]
[-74.6625061, 40.3453828]
[-74.6619235, 40.3443331]
[-74.6542724, 40.3342745]
[-74.646758, 40.3564]
[-74.666925, 40.349134]
[-74.667944, 40.350661]
[-74.64132, 40.348475]
[-74.637013, 40.350798]
[-74.635494, 40.352045]
[-74.639651, 40.346274]
[-74.6497542, 40.352679]
[-74.6476477, 40.3498027]
[-74.6556275, 40.3565876]
[-74.65881, 40.352675]
[-74.657655, 40.351356]
[-74.656475, 40.351721]
[-74.655922, 40.351883]
[-74.6435505, 40.3597282]
[-74.64422, 40.360518]
[-74.6655908, 40.3503577]
[-74.643035, 40.354879]
[-74.642553, 40.354246]
[-74.642097, 40.353646]
[-74.6617431, 40.353217]
[-74.657276, 40.353254]
[-74.6646694, 40.3422061]
[-74.6678327, 40.3408638]
[-74.656631, 40.353496]
[-74.658457, 40.356928]
[-74.660038, 40.362365]
[-74.6525202, 40.3518487]
[-74.6511265, 40.3488775]
[-74.651722, 40.354689]
[-74.6501, 40.355161]
[-74.649313, 40.352817]
[-74.651449, 40.358663]
[-74.645503, 40.353977]
[-74.644909, 40.353191]
[-74.644458, 40.352594]
[-74.643252, 40.35101]
[-74.670059, 40.344869]
[-74.6509065, 40.3523328]
[-74.642563, 40.350111]
[-74.6378582, 40.343753]
[-74.634457, 40.355292]
[-74.6590103, 40.351221]
[-74.6588674, 40.35088]
[-74.6585044, 40.350017]
[-74.6587523, 40.3513]
[-74.659339, 40.352478]
[-74.669228, 40.348235]
[-74.669021, 40.350364]
[-74.669971, 40.351781]
[-74.670724, 40.349903]
[-74.671185, 40.349886]
[-74.671983, 40.3496]
[-74.66299, 40.350489]
[-74.6611399, 40.3509974]
[-74.6541728, 40.3569314]
[-74.638797, 40.34918]
[-74.671722, 40.352701]
[-74.666881, 40.355508]
[-74.6577752, 40.351582]
[-74.658397, 40.352829]
[-74.659766, 40.356603]
[-74.650709, 40.358848]
[-74.649565, 40.359127]
[-74.636188, 40.352662]
[-74.648623, 40.357981]
[-74.6504046, 40.3604017]
[-74.667549, 40.346365]
[-74.668617, 40.345801]
[-74.638723, 40.352513]
[-74.662509, 40.334416]
[-74.661046, 40.332742]
[-74.672067, 40.351672]
[-74.673759, 40.350954]
[-74.664512, 40.340878]
[-74.638647, 40.35544]
[-74.6624533, 40.348904]
[-74.639884, 40.348636]
[-74.637792, 40.34964]
[-74.6610955, 40.3493037]
[-74.6608113, 40.3493813]
[-74.658666, 40.349975]
[-74.657129, 40.3503871]
[-74.6528816, 40.3517393]
[-74.633284, 40.356192]
[-74.6312529, 40.358923]
[-74.636873, 40.353488]
[-74.667195, 40.356136]
[-74.6540424, 40.3538782]
[-74.6405061, 40.3488546]
[-74.6402126, 40.3484679]
[-74.6524314, 40.3439288]
[-74.6495247, 40.3471239]
[-74.642657, 40.350233]
[-74.641118, 40.358576]
[-74.6323029, 40.3604823]
[-74.6305493, 40.3620093]
[-74.669704, 40.355638]
[-74.662787, 40.356705]
[-74.656026, 40.361323]
[-74.6606417, 40.3494274]
[-74.6381271, 40.3549459]
[-74.637238, 40.342155]
[-74.6476365, 40.3389864]
[-74.6592775, 40.3306272]
[-74.6587369, 40.3438262]
[-74.6562256, 40.3428913]
[-74.6564272, 40.3434891]
[-74.6559575, 40.3422545]
[-74.6584691, 40.3430773]
[-74.6552469, 40.3390148]
[-74.6551396, 40.3389992]
[-74.6613311, 40.3468599]
[-74.6636663, 40.34829]
[-74.6448297, 40.3541782]
[-74.6538705, 40.3462693]
[-74.6629987, 40.3485894]
[-74.6695742, 40.3554636]
[-74.6607059, 40.3429873]
[-74.6607262, 40.343127]
[-74.6607939, 40.3431573]
[-74.6609791, 40.3430736]
[-74.6606083, 40.3426573]
[-74.6559679, 40.3408857]
[-74.6558227, 40.3408262]
[-74.6554525, 40.3392501]
[-74.6398877, 40.3461687]
[-74.6558806, 40.3417442]
[-74.6371796, 40.3420076]
[-74.6372628, 40.3422194]
[-74.657441, 40.345688]
[-74.6614035, 40.3331509]
[-74.6491346, 40.3487162]
[-74.649468, 40.3493186]
[-74.6561809, 40.3427386]
[-74.654575, 40.357904]
[-74.6708675, 40.3439251]
[-74.6550182, 40.358941]
[-74.6559275, 40.3406434]
[-74.656944, 40.3379]
[-74.6552829, 40.3387666]
[-74.6553679, 40.3388204]
[-74.6550545, 40.3388956]
[-74.6553444, 40.3389771]
[-74.6620717, 40.348466]
[-74.6557438, 40.3384826]
[-74.6399655, 40.3466888]
[-74.6521662, 40.3511077]
[-74.6608625, 40.3461532]
[-74.6548248, 40.3390612]
[-74.6599346, 40.3417545]
[-74.6594017, 40.3420745]
[-74.6596878, 40.3418793]
[-74.6603903, 40.3431762]
[-74.6599466, 40.3463245]
[-74.6609103, 40.3429493]
[-74.6611467, 40.3433407]
[-74.6606946, 40.3430043]
[-74.6656331, 40.3532149]
[-74.6667399, 40.352804]
[-74.6633903, 40.351435]
[-74.6633979, 40.3514991]
[-74.6623548, 40.3578512]
[-74.6629452, 40.3570704]
[-74.6616064, 40.3561446]
[-74.6604621, 40.356429]
[-74.6620908, 40.3572816]
[-74.6550039, 40.3354234]
[-74.6477023, 40.3390455]
[-74.643645, 40.344539]
[-74.6490982, 40.347275]
[-74.6481218, 40.3476362]
[-74.6554476, 40.3566318]
